Commitment_Amount_INR_Cr,Commitment_Letter__Conclusion,Current_Status,Date_of_first_meeting__call,Due_Diligence__Queries,FeelerTeaserLetter_Sent,Initial_Appraisal__Evaluation_process_started,Initial__Final_Drawdown,Investor_Type,Meetings__Detailed_DiscussionsIM_Sent,Notes,Organisation,Reference,Responsibility_TNIFMC,Status_Open__Closed,TNIFMC_Request_INR_Cr
0,False,,1725148800000,False,True,False,False,HNIs / Family Offices,True,,Aboitiz Family Office,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1681948800000,False,True,False,False,PSU Banks / PFIs,True,Mr.  P. R. Rajagopal ED at Mumbai,BoI,CFM,K. Ganapathy Subramanian,Closed / Deferred,25
0,False,,1685577600000,False,True,False,False,Private Sector / Foreign  Banks in India / NBFCs,True,,Catholic syrian Bank,Propreitory,K. Ganapathy Subramanian,Declined,0
0,False,,1685577600000,False,True,False,False,PSU Banks / PFIs,True,,Citibank,Propreitory,Krishna Chaitanya K,Closed / Deferred,0
0,False,,1682899200000,False,True,False,False,PSU Banks / PFIs,True,To meet venkatesh GM Treasury - ref Arun Vasu,CUB,CFM,K. Ganapathy Subramanian,Closed / Deferred,10
0,False,,1725148800000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,True,,DEG Impact GmbH,SBI Caps,Krishna Chaitanya K,Open,0
0,False,,1725148800000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,True,,EBRD,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1725148800000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,True,,EIC Partners AG,Propreitory,Krishna Chaitanya K,Closed / Deferred,0
0,False,,1725148800000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,True,,"GIC, Singapore",Propreitory,Krishna Chaitanya K,Open,0
0,False,,1725148800000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,True,,Green Climate fund - Korea,SBI Caps,Satish S,Open,0
0,False,,1725148800000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,True,,Hanover Square Capital (UK) Ltd,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1681516800000,False,True,False,False,PSU Banks / PFIs,True,Presentation to Mr. Arun Bansal (ED Head of Treasury),IDBI Bank,CFM,K. Ganapathy Subramanian,Declined,25
0,False,,1685577600000,False,True,False,False,PSU Banks / PFIs,True,Provided contacts to Satish,IIFCL,SKC,K. Ganapathy Subramanian,Open,50
0,False,,1685577600000,False,True,False,False,PSU Banks / PFIs,True,We shall be using this organisation for referrals,Infrastructure Asia,Propreitory,K. Ganapathy Subramanian,Closed / Deferred,0
0,False,,1703894400000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,True,They are evaluating us more as a partner for TNESSF. We shall be using this organisation for referrals,Japan External Trade Organisation,Propreitory,Krishna Chaitanya K,Closed / Deferred,0
0,False,,1725148800000,False,True,False,False,HNIs / Family Offices,True,,K Cap (Koneru Family Office),Propreitory,Krishna Chaitanya K,Closed / Deferred,0
0,False,,1725148800000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,True,,KIC,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1725148800000,False,True,False,False,SWFs / MFIs / Pension Funds / FoFs,True,,Kuwait Investment Authority,Propreitory,Krishna Chaitanya K,Open,0
0,False,,1681516800000,False,True,False,False,PSU Banks / PFIs,True,Presentation to Mr. Sanjay Grover (CGM) Treasury,KVB,CFM,K. Ganapathy Subramanian,Closed / Deferred,10
